time,ISEQ All Share,volume
20/11/1985 01:00,694.7,0
21/11/1985 01:00,707.62,0
22/11/1985 01:00,707.62,0
25/11/1985 01:00,707.62,0
26/11/1985 01:00,707.62,0
27/11/1985 01:00,707.62,0
28/11/1985 01:00,706.51,0
29/11/1985 01:00,706.51,0
02/12/1985 01:00,706.51,0
03/12/1985 01:00,706.51,0
04/12/1985 01:00,706.51,0
05/12/1985 01:00,721.55,0
06/12/1985 01:00,721.55,0
09/12/1985 01:00,721.55,0
10/12/1985 01:00,721.55,0
11/12/1985 01:00,721.55,0
12/12/1985 01:00,731.03,0
13/12/1985 01:00,731.03,0
16/12/1985 01:00,731.03,0
17/12/1985 01:00,731.03,0
18/12/1985 01:00,731.03,0
19/12/1985 01:00,727.08,0
20/12/1985 01:00,727.08,0
23/12/1985 01:00,727.08,0
24/12/1985 01:00,727.08,0
25/12/1985 01:00,727.08,0
26/12/1985 01:00,727.08,0
27/12/1985 01:00,727.08,0
30/12/1985 01:00,727.08,0
31/12/1985 01:00,734.14,0
01/01/1986 01:00,734.14,0
02/01/1986 01:00,734.14,0
03/01/1986 01:00,731.99,0
06/01/1986 01:00,731.99,0
07/01/1986 01:00,731.99,0
08/01/1986 01:00,731.99,0
09/01/1986 01:00,734,0
10/01/1986 01:00,734,0
13/01/1986 01:00,734,0
14/01/1986 01:00,734,0
15/01/1986 01:00,734,0
16/01/1986 01:00,739.72,0
17/01/1986 01:00,739.72,0
20/01/1986 01:00,739.72,0
21/01/1986 01:00,739.72,0
22/01/1986 01:00,739.72,0
23/01/1986 01:00,742.8,0
24/01/1986 01:00,742.8,0
27/01/1986 01:00,742.8,0
28/01/1986 01:00,742.8,0
29/01/1986 01:00,742.8,0
30/01/1986 01:00,732.28,0
31/01/1986 01:00,732.28,0
03/02/1986 01:00,732.28,0
04/02/1986 01:00,732.28,0
05/02/1986 01:00,732.28,0
06/02/1986 01:00,769.84,0
07/02/1986 01:00,769.84,0
10/02/1986 01:00,769.84,0
11/02/1986 01:00,769.84,0
12/02/1986 01:00,769.84,0
13/02/1986 01:00,782.3,0
14/02/1986 01:00,782.3,0
17/02/1986 01:00,782.3,0
18/02/1986 01:00,782.3,0
19/02/1986 01:00,782.3,0
20/02/1986 01:00,831.72,0
21/02/1986 01:00,831.72,0
24/02/1986 01:00,831.72,0
25/02/1986 01:00,831.72,0
26/02/1986 01:00,831.72,0
27/02/1986 01:00,891.19,0
28/02/1986 01:00,891.19,0
03/03/1986 01:00,891.19,0
04/03/1986 01:00,891.19,0
05/03/1986 01:00,891.19,0
06/03/1986 01:00,915.38,0
07/03/1986 01:00,915.38,0
10/03/1986 01:00,915.38,0
11/03/1986 01:00,915.38,0
12/03/1986 01:00,915.38,0
13/03/1986 01:00,920.47,0
14/03/1986 01:00,920.47,0
17/03/1986 01:00,920.47,0
18/03/1986 01:00,920.47,0
19/03/1986 01:00,920.47,0
20/03/1986 01:00,917.46,0
21/03/1986 01:00,917.46,0
24/03/1986 01:00,917.46,0
25/03/1986 01:00,917.46,0
26/03/1986 01:00,917.46,0
27/03/1986 01:00,919.67,0
28/03/1986 01:00,919.67,0
31/03/1986 02:00,919.67,0
01/04/1986 02:00,919.67,0
02/04/1986 02:00,919.67,0
03/04/1986 02:00,958.1,0
04/04/1986 02:00,958.1,0
07/04/1986 02:00,958.1,0
08/04/1986 02:00,958.1,0
09/04/1986 02:00,958.1,0
10/04/1986 02:00,964.75,0
11/04/1986 02:00,964.75,0
14/04/1986 02:00,964.75,0
15/04/1986 02:00,964.75,0
16/04/1986 02:00,964.75,0
17/04/1986 02:00,944.49,0
18/04/1986 02:00,944.49,0
21/04/1986 02:00,944.49,0
22/04/1986 02:00,944.49,0
23/04/1986 02:00,944.49,0
24/04/1986 02:00,951.02,0
25/04/1986 02:00,951.02,0
28/04/1986 02:00,951.02,0
29/04/1986 02:00,951.02,0
30/04/1986 02:00,976.8,0
01/05/1986 02:00,976.8,0
02/05/1986 02:00,976.8,0
05/05/1986 02:00,976.8,0
06/05/1986 02:00,976.8,0
07/05/1986 02:00,976.8,0
08/05/1986 02:00,962.88,0
09/05/1986 02:00,962.88,0
12/05/1986 02:00,962.88,0
13/05/1986 02:00,962.88,0
14/05/1986 02:00,962.88,0
15/05/1986 02:00,915.67,0
16/05/1986 02:00,915.67,0
19/05/1986 02:00,915.67,0
20/05/1986 02:00,915.67,0
21/05/1986 02:00,915.67,0
22/05/1986 02:00,909.86,0
23/05/1986 02:00,909.86,0
26/05/1986 02:00,909.86,0
27/05/1986 02:00,909.86,0
28/05/1986 02:00,909.86,0
29/05/1986 02:00,890.57,0
30/05/1986 02:00,890.57,0
02/06/1986 02:00,890.57,0
03/06/1986 02:00,890.57,0
04/06/1986 02:00,890.57,0
05/06/1986 02:00,872.99,0
06/06/1986 02:00,872.99,0
09/06/1986 02:00,872.99,0
10/06/1986 02:00,872.99,0
11/06/1986 02:00,872.99,0
12/06/1986 02:00,890.7,0
13/06/1986 02:00,890.7,0
16/06/1986 02:00,890.7,0
17/06/1986 02:00,890.7,0
18/06/1986 02:00,890.7,0
19/06/1986 02:00,908.91,0
20/06/1986 02:00,908.91,0
23/06/1986 02:00,908.91,0
24/06/1986 02:00,908.91,0
25/06/1986 02:00,908.91,0
26/06/1986 02:00,956.26,0
27/06/1986 02:00,956.26,0
30/06/1986 02:00,956.26,0
01/07/1986 02:00,956.26,0
02/07/1986 02:00,956.26,0
03/07/1986 02:00,963.96,0
04/07/1986 02:00,963.96,0
07/07/1986 02:00,963.96,0
08/07/1986 02:00,963.96,0
09/07/1986 02:00,963.96,0
10/07/1986 02:00,939.68,0
11/07/1986 02:00,939.68,0
14/07/1986 02:00,939.68,0
15/07/1986 02:00,939.68,0
16/07/1986 02:00,939.68,0
